월일,탄생화 (月),탄생화(日),탄생화 (영문),꽃말,탄생석 (月),의미 (月),탄생석(日),의미 (日),탄생목,의미,별자리 (탄생좌),수호신,수호성,탄생색,색상 코드,색 이름,색 단어,퍼스널리티
1월 1일,튤립 수선화 미모사,스노드롭,Snow Drop,"희망, 깊은 애정",가넷,"희생, 충절, 변하지 않는 마음",임페리얼 제이드,불로불사,사과나무,사랑,염소자리,시간을 관장하는 신 크로노스,토성,,#FFFFE5,순백 / 라이트옐로,"순수, 우아, 심플",마음이 아름다운 최고의 여성
1월 2일,,노랑수선화,Narcissus Jonquill,사랑에 답하여,,,랜드스케이프 아게이트,불행을 막아줌,전나무,신비,,,,,#E6EAE6,프로스티화이트 / 아쿠아스프링,"감성, 논리, 청정",미학적인 사고에 매료된 사람
1월 3일,,사프란,Spring Crocus,후회 없는 청춘,,,토패저라이트,확실한 좋은 소식,,,,,,,#AFAFB0,실버그레이 / 스펀 펄,"용기, 밸런스, 경영력",품격 높은 마음의 소유자
1월 4일,,히아신스,Hyacinth,차분한 사랑,,,크리소콜라,정신의 안정,,,,,,,#8D9192,알루미뉼그레이 / 서브마린,"밝음, 에너지",두려움을 모르는 밝은 도전자
1월 5일,,노루귀,Hepatica,인내,,,골든 지르콘,슬픔과 의혹의 제거,,,,,,,#736D71,스틸그레이 / 몬순,"직관력, 동찰력, 잠재력",재치 있는 야무진 사람
1월 6일,,흰제비꽃,Violet,순진무구한 사랑,,,스타 가넷,성스러운 실행력,,,,,,,#705B67,쥐포도 / 코스믹,"논리, 스피드, 모험심",드라마틱한 생활의 실천자
1월 7일,,튤립,Tulipa,실연,,,암모나이트,과거의 추억,,,,,,,#0D0015,칠흑 / 블랙건포도,"정열, 재능, 상상력",도전하는 발상력 풍부한 정열가
1월 8일,,보랏빛 제비꽃,Violet,사랑,,,크롬 토르마린,내면의 증강,,,,,,,#B8C43A,시트론옐로 / 샐러리,"종교적 감성, 우주적 구상",자연을 사랑하는 서정가
1월 9일,,노랑제비꽃,Violet,수줍은 사랑,,,하이드로 그로슐라라이트,사랑의 달성,,,,,,,#69821B,이끼색 / 올리브드램,"신비성, 상상력",타인의 따뜻함을 느낄 수 있는 사람
1월 10일,,회양목,Box-Tree,참고 견뎌냄,,,골드,확실한 조언과 힘,,,,,,,#7B8D42,풀색 / 와사비,"영지, 예술, 세련",광대한 감성세계의 소유자
